OBJECTID,issue_category,check_name,field_name,issue_level,issue_detail
42159,completeness,core_field_missing,region,warning,region is missing
42499,completeness,core_field_missing,region,warning,region is missing
43857,completeness,core_field_missing,region,warning,region is missing
44396,completeness,core_field_missing,region,warning,region is missing
44856,completeness,core_field_missing,region,warning,region is missing
45082,completeness,core_field_missing,region,warning,region is missing
45468,completeness,core_field_missing,region,warning,region is missing
45925,completeness,core_field_missing,region,warning,region is missing
46376,completeness,core_field_missing,region,warning,region is missing
46485,completeness,core_field_missing,region,warning,region is missing
47071,completeness,core_field_missing,region,warning,region is missing
47397,completeness,core_field_missing,region,warning,region is missing
47864,completeness,core_field_missing,region,warning,region is missing
47989,completeness,core_field_missing,region,warning,region is missing
48209,completeness,core_field_missing,region,warning,region is missing
48685,completeness,core_field_missing,region,warning,region is missing
48822,completeness,core_field_missing,region,warning,region is missing
49361,completeness,core_field_missing,region,warning,region is missing
49868,completeness,core_field_missing,region,warning,region is missing
50076,completeness,core_field_missing,region,warning,region is missing
50192,completeness,core_field_missing,region,warning,region is missing
50255,completeness,core_field_missing,region,warning,region is missing
50487,completeness,core_field_missing,region,warning,region is missing
50849,completeness,core_field_missing,region,warning,region is missing
51088,completeness,core_field_missing,region,warning,region is missing
51891,completeness,core_field_missing,region,warning,region is missing
52106,completeness,core_field_missing,region,warning,region is missing
52642,completeness,core_field_missing,region,warning,region is missing
52677,completeness,core_field_missing,region,warning,region is missing
52794,completeness,core_field_missing,region,warning,region is missing
52996,completeness,core_field_missing,region,warning,region is missing
53376,completeness,core_field_missing,region,warning,region is missing
53709,completeness,core_field_missing,region,warning,region is missing
53737,completeness,core_field_missing,region,warning,region is missing
54289,completeness,core_field_missing,region,warning,region is missing
54440,completeness,core_field_missing,region,warning,region is missing
54502,completeness,core_field_missing,region,warning,region is missing
55030,completeness,core_field_missing,region,warning,region is missing
55854,completeness,core_field_missing,region,warning,region is missing
55882,completeness,core_field_missing,region,warning,region is missing
56027,completeness,core_field_missing,region,warning,region is missing
56105,completeness,core_field_missing,region,warning,region is missing
56860,completeness,core_field_missing,region,warning,region is missing
57271,completeness,core_field_missing,region,warning,region is missing
57879,completeness,core_field_missing,region,warning,region is missing
58642,completeness,core_field_missing,region,warning,region is missing
59826,completeness,core_field_missing,region,warning,region is missing
61224,completeness,core_field_missing,region,warning,region is missing
63409,completeness,core_field_missing,region,warning,region is missing
63437,completeness,core_field_missing,region,warning,region is missing
63496,completeness,core_field_missing,region,warning,region is missing
64791,completeness,core_field_missing,region,warning,region is missing
64934,completeness,core_field_missing,region,warning,region is missing
65639,completeness,core_field_missing,region,warning,region is missing
66169,completeness,core_field_missing,region,warning,region is missing
66650,completeness,core_field_missing,region,warning,region is missing
67181,completeness,core_field_missing,region,warning,region is missing
67552,completeness,core_field_missing,region,warning,region is missing
67571,completeness,core_field_missing,region,warning,region is missing
67632,completeness,core_field_missing,region,warning,region is missing
68584,completeness,core_field_missing,region,warning,region is missing
69007,completeness,core_field_missing,region,warning,region is missing
69090,completeness,core_field_missing,region,warning,region is missing
69677,completeness,core_field_missing,region,warning,region is missing
69700,completeness,core_field_missing,region,warning,region is missing
69793,completeness,core_field_missing,region,warning,region is missing
70008,completeness,core_field_missing,region,warning,region is missing
72489,completeness,core_field_missing,region,warning,region is missing
73162,completeness,core_field_missing,region,warning,region is missing
73368,completeness,core_field_missing,region,warning,region is missing
74230,completeness,core_field_missing,region,warning,region is missing
74789,completeness,core_field_missing,region,warning,region is missing
76643,completeness,core_field_missing,region,warning,region is missing
76675,completeness,core_field_missing,region,warning,region is missing
77043,completeness,core_field_missing,region,warning,region is missing
77160,completeness,core_field_missing,region,warning,region is missing
77463,completeness,core_field_missing,region,warning,region is missing
78118,completeness,core_field_missing,region,warning,region is missing
78133,completeness,core_field_missing,region,warning,region is missing
78414,completeness,core_field_missing,region,warning,region is missing
78646,completeness,core_field_missing,region,warning,region is missing
78756,completeness,core_field_missing,region,warning,region is missing
79537,completeness,core_field_missing,region,warning,region is missing
79982,completeness,core_field_missing,region,warning,region is missing
80121,completeness,core_field_missing,region,warning,region is missing
80148,completeness,core_field_missing,region,warning,region is missing
80485,completeness,core_field_missing,region,warning,region is missing
81219,completeness,core_field_missing,region,warning,region is missing
81242,completeness,core_field_missing,region,warning,region is missing
81354,completeness,core_field_missing,region,warning,region is missing
81399,completeness,core_field_missing,region,warning,region is missing
81488,completeness,core_field_missing,region,warning,region is missing
81497,completeness,core_field_missing,region,warning,region is missing
81736,completeness,core_field_missing,region,warning,region is missing
82190,completeness,core_field_missing,region,warning,region is missing
83429,completeness,core_field_missing,region,warning,region is missing
83558,completeness,core_field_missing,region,warning,region is missing
83643,completeness,core_field_missing,region,warning,region is missing
84076,completeness,core_field_missing,region,warning,region is missing
84297,completeness,core_field_missing,region,warning,region is missing
84622,completeness,core_field_missing,region,warning,region is missing
85738,completeness,core_field_missing,region,warning,region is missing
85968,completeness,core_field_missing,region,warning,region is missing
86297,completeness,core_field_missing,region,warning,region is missing
86469,completeness,core_field_missing,region,warning,region is missing
86673,completeness,core_field_missing,region,warning,region is missing
86960,completeness,core_field_missing,region,warning,region is missing
87006,completeness,core_field_missing,region,warning,region is missing
87047,completeness,core_field_missing,region,warning,region is missing
87078,completeness,core_field_missing,region,warning,region is missing
87224,completeness,core_field_missing,region,warning,region is missing
87716,completeness,core_field_missing,region,warning,region is missing
87741,completeness,core_field_missing,region,warning,region is missing
87916,completeness,core_field_missing,region,warning,region is missing
87950,completeness,core_field_missing,region,warning,region is missing
88106,completeness,core_field_missing,region,warning,region is missing
88242,completeness,core_field_missing,region,warning,region is missing
88481,completeness,core_field_missing,region,warning,region is missing
88671,completeness,core_field_missing,region,warning,region is missing
88721,completeness,core_field_missing,region,warning,region is missing
