OBJECTID,crashYear,crashFinancialYear,crashSeverity,fatalCount,seriousInjuryCount,minorInjuryCount,total_injury_count,highest_injury_signal,review_priority,region,tlaId,tlaName,areaUnitID,meshblockId,crashLocation1,crashLocation2,crashSHDescription,X,Y,speedLimit,NumberOfLanes,roadCharacter,roadLane,roadSurface,trafficControl,urban,flatHill,light,streetLight,weatherA,weatherB,crashDirectionDescription,directionRoleDescription
794256,2024,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Auckland Region,76,Auckland,524603,780205,CAVENDISH DRIVE,SHARKEY STREET,No,1767087.2267,5904758.8429,50,2,Nil,2-way,Sealed,Traffic Signals,Urban,Flat,Bright sun,Off,Fine,None,Null,East
794496,2023,2023/2024,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,590100,2541800,RICCARTON ROAD,NEWNHAM TERRACE,No,1565864.5675,5180074.217,50,2,Nil,2-way,Sealed,Nil,Urban,Flat,Bright sun,None,Fine,None,Null,West
798350,2023,2022/2023,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,587702,2481605,AWATEA ROAD,WIGRAM ROAD,No,1563875.5196,5176563.5225,50,2,Nil,2-way,Sealed,Give way,Urban,Flat,Overcast,Off,Fine,None,Null,West
809223,2025,2025/2026,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,594010,2591100,SMITH STREET,LINWOOD AVENUE,No,1573969.6272,5179515.2521,50,2,Nil,2-way,Sealed,Give way,Urban,Flat,Bright sun,Null,Null,Null,Null,North
810827,2026,2025/2026,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,59,Waimakariri District,586308,2444600,KING STREET,QUEEN STREET,No,1566808.8276,5205245.8361,50,2,Nil,2-way,Sealed,Stop,Urban,Null,Unknown,Null,Fine,Null,North,North
810925,2025,2025/2026,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Bay of Plenty Region,23,Tauranga City,537602,1192202,OROPI ROAD,SH 29A,No,1876766.5981,5818472.0435,60,2,Nil,1-way,Sealed,Give way,Urban,Null,Bright sun,Off,Fine,Null,Null,North
811962,2026,2025/2026,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Nelson Region,52,Nelson City,582300,2317000,WAINUI STREET,COLLINGWOOD STREET,No,1624040.9768,5431653.6154,50,2,Nil,2-way,Sealed,Stop,Urban,Flat,Bright sun,Off,Fine,Null,Null,East
812040,2025,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Waikato Region,16,Hamilton City,530200,892800,CLYDE STREET,GREY STREET,No,1801895.3624,5814835.0103,50,2,Nil,2-way,Sealed,Give way,Urban,Null,Overcast,Null,Fine,Null,Null,East
812925,2023,2023/2024,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Auckland Region,76,Auckland,515202,423600,WESTHAVEN DRIVE,CURRAN STREET,No,1755376.3921,5921850.0362,50,2,Nil,2-way,Sealed,Nil,Urban,Flat,Unknown,None,Fine,None,South,North
813962,2025,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Northland Region,2,Whangarei District,503000,98800,MAUNU ROAD,POROWINI AVENUE,No,1718967.6472,6045350.4907,50,2,Nil,2-way,Sealed,Stop,Urban,Null,Unknown,Null,Fine,Null,Null,South
